iter	MultiClass
0	0.1968336641
1	0.1958208778
2	0.1954303743
3	0.194919196
4	0.1942585919
5	0.1935745763
6	0.193107869
7	0.1922304115
8	0.1915210233
9	0.1911486334
10	0.1903920323
11	0.1894910246
12	0.1889409181
13	0.188485746
14	0.1876211251
15	0.1869696556
16	0.1861597826
17	0.1854354244
18	0.1849307955
19	0.1843942889
20	0.1833679343
21	0.1825153089
22	0.182167701
23	0.1819421921
24	0.1818098119
25	0.1813889297
26	0.1812835299
27	0.1806491406
28	0.1804022573
29	0.1794376699
30	0.1790265594
31	0.1789459512
32	0.1786877077
33	0.1779904017
34	0.1770228737
35	0.17665071
36	0.1754621212
37	0.1749344623
38	0.1743625521
39	0.1741946543
40	0.1735444093
41	0.1731500761
42	0.1726451608
43	0.171943458
44	0.1706833552
45	0.1702931056
46	0.1699898283
47	0.1697947226
48	0.169154705
49	0.1686393894
50	0.1684945219
51	0.1684609709
52	0.1674468822
53	0.1671000797
54	0.1666072938
55	0.1663227431
56	0.1662897581
57	0.165730837
58	0.1644160107
59	0.1636521278
60	0.1632213216
61	0.1628129514
62	0.1623671753
63	0.1616543262
64	0.1613773402
65	0.1608995217
66	0.1606080688
67	0.1603055099
68	0.1599216961
69	0.1594638062
70	0.158709244
71	0.1586743187
72	0.1583306408
73	0.1576089395
74	0.1573920472
75	0.1570950595
76	0.1566568585
77	0.1560713471
78	0.1558219915
79	0.1552933175
80	0.1549187221
81	0.1546501922
82	0.1545513564
83	0.1540131695
84	0.1537125677
85	0.1533494393
86	0.1529798731
87	0.1527535738
88	0.1520601069
89	0.1517823315
90	0.1514410745
91	0.151024034
92	0.1503628613
93	0.1500844909
94	0.1497338933
95	0.1491567594
96	0.1490659995
97	0.148856749
98	0.1480210705
99	0.1477630171
100	0.147681188
101	0.1473479741
102	0.147018133
103	0.1463255917
104	0.146241737
105	0.1460200518
106	0.1454902005
107	0.1447235254
108	0.1444460415
109	0.1436647987
110	0.14359781
111	0.1431868696
112	0.1426910991
113	0.1424224138
114	0.1421780355
115	0.1417319126
116	0.1415074227
117	0.1409636866
118	0.14068911
119	0.1400780573
120	0.1397980788
121	0.1393977233
122	0.1392147669
123	0.1390419341
124	0.138554025
125	0.1382432138
126	0.1381453907
127	0.1379670638
128	0.1378245425
129	0.1377118521
130	0.1375622754
131	0.1372325721
132	0.1366686578
133	0.1361027753
134	0.1359621079
135	0.1353033944
136	0.1350630325
137	0.1347732742
138	0.1347689471
139	0.1346486348
140	0.134542012
141	0.1343550633
142	0.1343086339
143	0.1341644377
144	0.1340139438
145	0.1338426229
146	0.1336322284
147	0.1334876749
148	0.1331347888
149	0.1330950167
150	0.1326681936
151	0.1322140277
152	0.1320864884
153	0.1316195207
154	0.1313744833
155	0.1313222494
156	0.1312731098
157	0.1307326122
158	0.1302271728
159	0.1300962193
160	0.1300164707
161	0.1298046774
162	0.1295034918
163	0.1290721716
164	0.1289975567
165	0.1289611378
166	0.1283998739
167	0.1282534102
168	0.1280551034
169	0.1277178587
170	0.1275830798
171	0.1275485674
172	0.1273020226
173	0.126905918
174	0.1262813247
175	0.1262323066
176	0.1260952163
177	0.1258700515
178	0.1256533746
179	0.1255033217
180	0.1253103315
181	0.1249841478
182	0.1248883302
183	0.124558613
184	0.1244667166
185	0.1242839221
186	0.1241425414
187	0.1239604727
188	0.1237897382
189	0.123656813
190	0.1235376302
191	0.1234071065
192	0.122894841
193	0.1228644882
194	0.1227363302
195	0.1223507112
196	0.1222772583
197	0.1222593812
198	0.1221525073
199	0.1220295789
200	0.1220041218
201	0.1216082346
202	0.1212905291
203	0.121256015
204	0.1209863021
205	0.1206586044
206	0.1205850903
207	0.1201518749
208	0.1201030612
209	0.1199165951
210	0.1197191115
211	0.1196811971
212	0.1195886742
213	0.1194897554
214	0.1190533354
215	0.1190135591
216	0.1187976816
217	0.1186316304
218	0.1185104312
219	0.1183620017
220	0.1182951615
221	0.1180920541
222	0.1180355439
223	0.1179971394
224	0.1179892841
225	0.1179475134
226	0.1177445599
227	0.1173764843
228	0.1173114106
229	0.1169933493
230	0.1168648709
231	0.1168525126
232	0.1165270715
233	0.1162406593
234	0.1162027034
235	0.1159996121
236	0.1158551837
237	0.1158344694
238	0.1156085604
239	0.1153008972
240	0.1150072763
241	0.1146084866
242	0.114526811
243	0.1145076596
244	0.1142582771
245	0.1142396493
246	0.1141972726
247	0.1141837828
248	0.1140272038
249	0.1139331235
250	0.1138915747
251	0.1137578305
252	0.1136903137
253	0.1136711757
254	0.1135932306
255	0.1134419852
256	0.1133188557
257	0.1130536076
258	0.1130421203
259	0.1129066336
260	0.1128507909
261	0.1128360764
262	0.1127309087
263	0.1126870727
264	0.1126478972
265	0.1124664949
266	0.1123531098
267	0.1120242521
268	0.1120073932
269	0.1116043923
270	0.1113791169
271	0.1113132289
272	0.111116926
273	0.1110832149
274	0.110862344
275	0.110777252
276	0.110729765
277	0.1107140178
278	0.1106411302
279	0.1104293717
280	0.1100589894
281	0.1099670925
282	0.1097963575
283	0.1097563709
284	0.1097186922
285	0.1093318128
286	0.1090927648
287	0.1090775936
288	0.1090473714
289	0.108996679
290	0.1088799514
291	0.1087902107
292	0.1085109203
293	0.1082698552
294	0.108217302
295	0.1080621507
296	0.1080411566
297	0.1079360612
298	0.1074957674
299	0.1073708942
300	0.1073467195
301	0.1070581026
302	0.1066972828
303	0.1065509276
304	0.1065375132
305	0.1064919588
306	0.1061775679
307	0.1060947919
308	0.1058603617
309	0.1057871001
310	0.1057763991
311	0.1056283066
312	0.1054550975
313	0.1054207835
314	0.1052146963
315	0.1050073173
316	0.1048422226
317	0.1043786602
318	0.1043589378
319	0.1042204022
320	0.10405744
321	0.1039223425
322	0.1034677565
323	0.1033239577
324	0.1030593708
325	0.1028628317
326	0.102549806
327	0.1025132715
328	0.1024172609
329	0.102366574
330	0.1023299582
331	0.1022344496
332	0.1018441042
333	0.1017208239
334	0.1016397285
335	0.1012992861
336	0.1011727896
337	0.1011589862
338	0.1006320327
339	0.1005735461
340	0.1005482081
341	0.1004663389
342	0.1002893207
343	0.1002578482
344	0.1002209961
345	0.1000957812
346	0.09994315449
347	0.09988300006
348	0.09982751216
349	0.09965631729
350	0.09958743145
351	0.09952609861
352	0.09948154391
353	0.09944316674
354	0.09922989127
355	0.09909297087
356	0.09905865343
357	0.09889443037
358	0.09875711548
359	0.09826892139
360	0.0982006716
361	0.09801849282
362	0.09781283735
363	0.09774515722
364	0.09771818587
365	0.09763699821
366	0.09757424463
367	0.09747885593
368	0.09732729789
369	0.09717015979
370	0.09710323289
