iter	Passed	Remaining
0	11	1117
1	15	759
2	19	619
3	23	562
4	26	506
5	29	461
6	32	430
7	34	400
8	38	389
9	41	370
10	43	352
11	46	344
12	49	330
13	52	320
14	55	316
15	57	302
16	60	296
17	63	288
18	66	282
19	68	275
20	71	269
21	73	261
22	77	258
23	80	254
24	82	246
25	83	237
26	86	233
27	88	227
28	90	222
29	95	222
30	98	219
31	102	217
32	106	215
33	108	209
34	110	205
35	113	201
36	115	196
37	117	192
38	120	188
39	123	185
40	126	181
41	129	178
42	131	174
43	134	170
44	136	166
45	139	163
46	143	161
47	145	157
48	146	152
49	149	149
50	152	146
51	155	143
52	158	140
53	160	136
54	163	133
55	166	130
56	169	127
57	171	124
58	174	121
59	177	118
60	180	115
61	182	111
62	185	108
63	188	105
64	190	102
65	194	99
66	197	97
67	200	94
68	202	91
69	206	88
70	209	85
71	212	82
72	215	79
73	218	76
74	220	73
75	222	70
76	225	67
77	227	64
78	230	61
79	232	58
80	233	54
81	235	51
82	237	48
83	241	45
84	242	42
85	244	39
86	247	36
87	249	34
88	251	31
89	254	28
90	256	25
91	258	22
92	261	19
93	264	16
94	266	14
95	269	11
96	271	8
97	274	5
98	276	2
99	278	0
